,index,body,Target,Date,I(positive),I(neutral),I(negative),I(positive)*score,I(neutral)*score,I(negative)*score
43,6039,cramerq what do really think of tesla and why would anyone buy at these level pre earnings,1,2015-07-24 13:20:03,0,1,0,0.0,0.5325167775154114,0.0
44,4095,today was a good day to trade with ntfx but anywhere on twitter i ask no one said anything all investors are in tesla,1,2018-08-03 19:38:15,0,1,0,0.0,0.5231015086174011,0.0
45,39574,tesla drops after musk warns of manufacturing hell tesla,1,2017-07-31 18:03:50,0,0,1,0.0,0.0,0.5909687876701355
46,14775,tesla twtr aapl swing trade investing is over has been for a while,1,2015-07-23 18:27:36,0,0,1,0.0,0.0,0.9234911203384399
47,39974,tesla up a casual 40 in less than a year from this tweet again best to avoid shorting maana stocks ht,0,2017-05-11 05:37:21,0,0,1,0.0,0.0,0.6354761719703674
48,14518,atdbto alimentation couchetard inc yieldatdbto fdcax tesla fnma atdbto stockmarket nasdaq,0,2015-07-04 17:32:09,0,1,0,0.0,0.8243814706802368,0.0
49,314,added tesla sshort on shak theory,0,2015-08-13 13:00:21,1,0,0,0.7215303182601929,0.0,0.0
50,5787,if you use a cheat code do you still unlock the achievement tesla tslaq,1,2018-07-03 14:27:14,0,1,0,0.0,0.8076344728469849,0.0
51,10859,epic short squeeze this week could see weyl shares go from 250 to 150 aapl symc jd mrk lly regn fb iq cron csco gern intc ge bac chk f abev t dnr rig tesla ogen cei mnga amrn edit lgnd cytx osir athx cycc 20sale20traderweylhtml,1,2018-10-07 20:20:59,1,0,0,0.9285078644752502,0.0,0.0
52,20809,the etron has a shorter range but quicker recharging than a tesla model x tesla,1,2018-12-07 17:05:53,0,1,0,0.0,0.751804530620575,0.0
53,22987,rxmd filings updated friday february 12 2016 094125 am hnss tesla vpco uwti,1,2016-02-12 15:17:07,0,1,0,0.0,0.6800521016120911,0.0
54,27031,hey teslarians im sure if the aapl car looks like an aston martin it wont be a threat to tesla right,0,2016-04-19 13:04:23,1,0,0,0.5445748567581177,0.0,0.0
55,14998,after this friday only 4 more trading weeks in 2017 a year of explosive growth how did you do join making money trading stocks etfs friday nugt nflx tesla,1,2017-11-28 17:43:56,0,0,1,0.0,0.0,0.6941026449203491
56,38588,tesla is a zero there i said it againfeel free to sue me dm me for an address on where to send your process server,0,2018-10-05 19:25:00,0,0,1,0.0,0.0,0.803488552570343
57,33052,smart to refusemodel3refund tesla,0,2018-08-08 10:55:39,0,1,0,0.0,0.5430803894996643,0.0
58,27996,dont miss our next free option trade sign up for our daily free trades at nvda tesla gs pcln bac googl fb,0,2017-10-19 11:00:33,0,0,1,0.0,0.0,0.6353396773338318
59,28904,tesla fires back at claims of safety flaws teslaflawsindexhtml tesla via,0,2016-06-10 12:16:17,1,0,0,0.7312281131744385,0.0,0.0
60,28177,wow you actually have a brain im surprised where do you think tesla is going for here are you a buyer or seller at these levels,0,2018-12-27 23:25:20,0,1,0,0.0,0.5937076807022095,0.0
61,32862,get your id rather be trading gear shop now at twtr esf amzn snap fb aapl tesla cost,0,2017-08-27 15:50:23,1,0,0,0.8936073184013367,0.0,0.0
62,35302,tesla tesla 25919wed sep 16vzvolboget long bstp 25622todays o25304 h25996,0,2015-09-16 15:58:47,0,0,1,0.0,0.0,0.5254663825035095
63,31370,america imports deflation on cheap oil strong dollar 784687importpricesfallonoildollarhtm ibdnews via cat googl tesla aapl,1,2015-12-10 17:57:04,0,1,0,0.0,0.5592104196548462,0.0
64,22667,today is national nonprofit daycheers elontsla,1,2017-08-17 23:22:27,0,1,0,0.0,0.7970888018608093,0.0
65,24533,lsgto lake shore gold corp day highlsgto tesla lnkd aaxj lsgto investing finance,0,2015-07-31 07:42:09,0,1,0,0.0,0.5991544723510742,0.0
66,1566,rt tesla algos triggered sell in sigmax crossfinder ats lx 0917 pt 20600 goog baba fb nflx bidu gpro aapl qqq hft quant,0,2015-02-03 14:19:41,0,1,0,0.0,0.8544875979423523,0.0
67,12296,couldnt agree more tesla,1,2018-03-30 17:03:09,0,0,1,0.0,0.0,0.8953242301940918
68,34134,tesla model 3 already top 3 selling sedan in us as measured in weekly sales can it become 1 camry and accord on a weekly basis sell 75k camry and 6k accord list best selling sedans in us,1,2018-07-04 12:56:20,0,1,0,0.0,0.8711917996406555,0.0
69,16810,its pretty obvious now teslas production curve has taken a shs formation shape a signal formation for shorts the last bit of the curve is called the sad doodle tesla tslaq,0,2018-12-26 08:25:54,0,1,0,0.0,0.7216125726699829,0.0
70,14470,today action we killed tesla with several trades plus some nice gains in amd spx hedges closed as market held for now hedges are insurance to protect longs in case things go bad,1,2018-06-06 18:23:53,0,0,1,0.0,0.0,0.9034292697906494
71,27084,6 what the actual shit was thattslatheactualshitwasthat1831214583amputmmediumsharefromsiteutmsourcejalopniktwitterutmcampaigntoptwitterimpressiontrue,1,2018-12-20 14:35:10,0,1,0,0.0,0.46733754873275757,0.0
72,21047,tesla tesla downgraded by bidaskclub to hold p713269,1,2018-12-19 05:27:20,0,1,0,0.0,0.5036066174507141,0.0
73,36979,today would be pump the stock day for tesla if the sec hadnt intervened just saying,0,2018-10-04 15:00:50,0,1,0,0.0,0.8913955688476562,0.0
74,32734,this should be good for at least 510 tomorrow tesla,1,2018-09-04 21:21:53,0,1,0,0.0,0.7036072611808777,0.0
75,32798,rt qqq hft algos triggered sell in sigmax crossfinder ats lx 1455 pt 10400 quant msft twtr goog amzn aapl nflx fb tesla,1,2016-03-11 19:57:37,0,1,0,0.0,0.6849071979522705,0.0
76,22898,tesla musk bid for tesla no formal offer no firm deals with advisers,1,2018-08-15 03:22:55,0,0,1,0.0,0.0,0.8790810704231262
77,4859,triple top or are we going to really break through the 162ish barrier which way tesla,1,2016-02-17 14:16:59,0,1,0,0.0,0.48608726263046265,0.0
78,8648,at deliveringalpha short seller kynikos hedge fund manager chanos talks about tesla evhc md kkr dnkn,0,2018-07-18 17:13:22,0,0,1,0.0,0.0,0.8964314460754395
79,38406,tesla model 3 wins the popular mechanics car of the year award reviewer liked the car so much he ordered a model 3 for himself read here tesla teslamotors teslamodel3 electricvehicle elonmusk,0,2018-04-04 10:02:16,1,0,0,0.6809066534042358,0.0,0.0
80,38975,short tesla 201 day trade scalp,1,2015-01-22 17:07:37,0,0,1,0.0,0.0,0.5139082670211792
81,3719,heuto horizons betapro sptsx capped energy bull plus etf financialsheuto sgyto v tesla heuto stocks,1,2015-06-12 13:39:16,0,1,0,0.0,0.49724656343460083,0.0
82,15280,something something something about chickens and counting and hatching tesla,1,2016-04-01 16:15:41,0,1,0,0.0,0.7993606328964233,0.0
83,13125,tesla friday downgradesbarclays 130share musk premium may go awayciti sell pt225jpmorgan a number of negative implicationsbuy goog nvda,0,2018-10-01 14:51:55,0,1,0,0.0,0.635339617729187,0.0
84,24168,tesla vs gm stock performance nowordsneeded trmxremember gm was rescued in 2009 by the us gov and has 5000 dealerships,0,2018-12-12 23:55:08,0,1,0,0.0,0.8980181217193604,0.0
85,31578,if you having stock problems i feel bad for you son i got 99 shorts but a tesla aint 1 hit me,1,2018-06-22 06:42:20,0,1,0,0.0,0.8300055265426636,0.0
86,15146,is political correctness the end of america optiontriggerswith100659541fb amzn nflx aapl baba tesla vix spy spx jnj tlry googl btc,0,2018-12-27 15:59:31,0,0,1,0.0,0.0,0.4646602272987366
87,31543,perfect shut down this week online for a day and then will shut down again also the aforementioned schedule is subject to further delay tesla,1,2018-04-18 01:23:17,0,1,0,0.0,0.776419997215271,0.0
88,25649,tesla open above 350 tomorrow,1,2017-06-05 20:34:40,0,1,0,0.0,0.7996982336044312,0.0
89,37863,valeant pharmaceuticals apple inc and tesla inc top stock trading ideas for today vrx aapl tesla shtoy0rnqshu9qt9o,0,2017-10-18 12:50:14,0,0,1,0.0,0.0,0.9548085331916809
90,29169,tesla weekly rsi flirting with disaster might have to take this one back to the factory,0,2018-03-07 17:24:22,0,1,0,0.0,0.8821866512298584,0.0
91,14075,patiently waiting for tesla waitingfortesla via,1,2018-07-22 06:16:33,0,0,1,0.0,0.0,0.7639241218566895
92,20451,tesla driver autopilot disengaged at time of crash tesladriverautopilotdisengagedtimecrashsourcetweet tesla,1,2017-07-17 18:34:20,0,1,0,0.0,0.8464810848236084,0.0
93,9536,hilarious to see tesla fangirl melissa lee mock the twtr business model on tv when twtr generates cash while tesla incinerates it,1,2016-12-30 12:25:49,0,0,1,0.0,0.0,0.645519495010376
94,10642,dust direxion daily gold miners bear 3x shares exchangedust tesla xlu bnsto dust nasdaq pennystocks,0,2015-10-14 04:33:34,0,0,1,0.0,0.0,0.8433239459991455
95,30745,someone out there really care a lot that tesla not break below 300 todays low to the penny the stock down 20 in less than three months has traded below 300 a halfdozen times since early november but never closed underneath,1,2017-12-06 16:27:04,0,1,0,0.0,0.7707173824310303,0.0
96,4750,thought theyd release a huge m3p number in q2 but i declined to bet since if the number was low as i predicted they wouldnt release it tesla makes this very hard as they dont release any bad s except mandated by sec reporting,0,2018-08-31 17:46:58,0,1,0,0.0,0.5445601940155029,0.0
97,36513,what do you think of tesla corporate governancei think it would be a good ideaapologies to m gandhi,1,2018-08-14 13:15:20,0,1,0,0.0,0.8926669955253601,0.0
98,24787,i suspect an update to the reedhastings rulenetflix just crossed 1 billion hours watchedis a little different thanfunding secured to take tesla private at 420sharefor starters one was true,0,2018-08-10 15:11:21,1,0,0,0.957891047000885,0.0,0.0
99,7306,instantly rechargeable battery could ensure future of electric cars tesla rechargeablebatterycouldensurefutureofelectriccarstslahtml from 06052017,1,2017-06-05 10:36:03,1,0,0,0.6994975209236145,0.0,0.0
100,13143,maybe tesla can pop like yeco to 900,1,2018-10-26 18:22:05,0,1,0,0.0,0.5399702191352844,0.0
101,27415,flufferbot asshat chimp barnacletsla,0,2018-05-12 23:32:41,0,1,0,0.0,0.827151894569397,0.0
102,25484,we calculated 21day expected return of tesla for you 2318,0,2016-02-03 16:24:43,1,0,0,0.5881617069244385,0.0,0.0
103,1484,positive press for a fraud con imo greater than enron when this collapses remember this tweet and your work is fantastic see spacex for his true negative cash flow business or boring co etc justsayin whateveryoudodontshortteslatheshortfilm tesla,1,2018-11-09 14:11:22,0,0,1,0.0,0.0,0.6198131442070007
104,35900,brand new tesla autopilot accident soon itll drive cross country but right now even 20mph appears to be a problem,0,2016-11-21 18:55:29,0,1,0,0.0,0.7811926603317261,0.0
105,13253,and how many men have you pathologically harassed on over tesla today oh just me a women who you disagree with despite there being thousands of men who disagree with you i love when abusive trolls make my point for me,1,2018-07-23 22:31:28,0,1,0,0.0,0.7201317548751831,0.0
106,8891,tesla glad i sold my calls to lock the profit at 259,1,2017-02-07 15:16:45,0,1,0,0.0,0.5235016345977783,0.0
107,23163,id be willing to let him off with just eating a horses dick if he does it now doesnt have the balls to make the same bold statement about tesla cmon elon if tesla isnt paying a dividend by 2q2019 will you eat,1,2018-07-12 22:59:58,0,1,0,0.0,0.7544928193092346,0.0
108,8895,s investor movement index imx for february 2017 aapl amzn jpm chk teva m drys f tesla dis,1,2017-03-06 18:22:02,0,1,0,0.0,0.6980372667312622,0.0
109,26782,why are criminals guarding this cash line of wallstreet bankershivites cult of cannibals pedos 17 pages ab illegal shortselling billions of fleeced fr investors tesla victim of market manipulation ostk,1,2018-10-13 07:35:48,0,1,0,0.0,0.7947871685028076,0.0
110,34569,first step in making a sound argument call someone an idiot youvalueteslapercarsoldyoureanidiot20160505 tesla,0,2016-05-05 12:12:07,1,0,0,0.8946070671081543,0.0,0.0
111,816,tesla x is a 1 on a scale of 15 s is a 3 but then teslemmings have plenty of time to spend getting repairs,0,2017-10-19 16:56:17,0,1,0,0.0,0.9075616598129272,0.0
112,6401,tesla on time price support interested in what happens at the retest of depicted midpoint,0,2015-03-03 17:56:17,0,1,0,0.0,0.8631837368011475,0.0
113,1464,loblaws is canadas biggest grocery chain1m unit market believe thats us only why wouldnt tesla get 100k units a year another quick 15b in revenue 15b ebittsla,0,2017-11-19 21:34:01,0,0,1,0.0,0.0,0.816247820854187
114,27809,good thing tesla is building that gigafactory what will this capacity look like in five years ourlithiumionbatteryproductionwillexceedcapacityof100millionkwhthisyear,1,2015-02-09 21:45:06,1,0,0,0.8904843330383301,0.0,0.0
115,37677,on watch tesla today possible short if confirmed weakness at open,0,2017-06-20 12:59:32,0,1,0,0.0,0.8904024362564087,0.0
116,6275,its a silly model if it works backwards from tesla statements when they have 5 chance of being true imo tesla doesnt have enough reservation to ramp up 1k a week ever for model 3 large age is already invited,0,2018-02-28 00:22:48,0,0,1,0.0,0.0,0.7967455983161926
117,28737,cook it must a line for new 1k iphone oh wait its line for 50k tesla still dont get it tim tesla model 3 is your next supersize iphone,0,2018-08-21 13:24:32,0,1,0,0.0,0.5231291651725769,0.0
118,2507,gain from movement in these buzzing assets fb gwp rgzpf sensex tesla assetsfbgwprgzpfsensextsla,0,2016-03-14 14:05:57,0,1,0,0.0,0.48051583766937256,0.0
119,21746,question for the millennials did get pwned or owned what is the differencewhich one puts him closer to ch 11 tesla,1,2018-09-05 02:02:08,0,1,0,0.0,0.8585216999053955,0.0
120,34165,of all the arguments against tesla no demand is the hardest one to be civil about when when heard,0,2018-06-28 21:40:01,0,1,0,0.0,0.8061456084251404,0.0
121,11897,hey can you please provide details of the super charger drivein is tesla planning to finance these on their own balance sheet what is the expected timing for when these are going to be rolled out cc enforcement,1,2018-01-09 03:43:26,0,1,0,0.0,0.6591375470161438,0.0
122,4178,berkshire hathaway bought bought aal dal ualadded to psx lsxmk chtr v lbtya bk wbc lsxma mbrk hathawaypostbuffett,1,2016-11-14 22:00:33,0,1,0,0.0,0.7971194982528687,0.0
123,28722,i wis you the best of luck and please carry through before tesla eats your business away,0,2018-12-28 23:18:20,0,1,0,0.0,0.7565581798553467,0.0
124,21802,short squeeez tesla trmx once again,0,2016-03-18 14:59:40,0,0,1,0.0,0.0,0.8350270390510559
125,23587,good tell these pedos how it is done by the way are you taking question tonight or go straight to you tube tesla,1,2018-08-01 10:58:40,0,1,0,0.0,0.8051486611366272,0.0
126,625,tickers trending on twtr in last 1 hour aapl db gazp tesla twtr assetsaapldbgazptslatwtr,0,2015-09-21 18:10:19,0,1,0,0.0,0.7793111205101013,0.0
127,19903,update wallstreet at closestocks end the 1st day of the 2nd quarter deeply in red as tech selloff continues amazon down on trumps tweet snapchat tumbles on pt cut tesla in free fall on missed production targettrading amzn tesla snap,0,2018-04-02 23:59:55,0,0,1,0.0,0.0,0.5117509365081787
128,23138,tesla call uoa bidside opening,1,2018-11-23 15:59:33,1,0,0,0.5305545926094055,0.0,0.0
129,26907,tesla alright so 330 supporting now and 33650 showing resistance a few times 420pm,1,2017-08-02 20:37:41,0,0,1,0.0,0.0,0.5677536725997925
130,14857,choicetrade brokerage review stocktrading stockbroker choicetrade kol kcg aapl msft goog ibm amzn tesla,0,2016-09-25 12:07:10,0,1,0,0.0,0.9197869896888733,0.0
131,31835,shorts tesla,1,2018-07-05 15:50:37,0,0,1,0.0,0.0,0.7902281284332275
132,16367,this brings stability to the company and would help become the best and largest car company but i would loose my tesla stocks,0,2018-08-07 17:27:38,0,1,0,0.0,0.8221759796142578,0.0
133,3705,just how good is a tesla battery,1,2018-05-01 16:28:00,0,0,1,0.0,0.0,0.8559796810150146
134,6224,tesla thanks for the insight,1,2017-11-30 18:50:48,0,1,0,0.0,0.5617888569831848,0.0
135,20856,tesla insane bouncereally didnt expect this kind of strength here todaystill going to wait till next week to put buybut damnnnn strong,0,2016-10-20 16:20:46,0,0,1,0.0,0.0,0.7175121307373047
136,35489,hey did you hear that tesla,0,2017-09-23 21:53:46,0,0,1,0.0,0.0,0.789861798286438
137,4273,tesla wow that is embarrassing for,0,2018-05-07 19:24:24,0,0,1,0.0,0.0,0.6302174925804138
138,16293,tesla maybe its a big wheel but seriously i know several people here in ba who are testing the battery now at home,1,2015-03-30 17:00:17,1,0,0,0.5447391271591187,0.0,0.0
139,39520,early movers jah nwl kmb tesla gpro dow coh hpe tsl dd aapl mu many more moversjahnwlkmb124821391htmlsocsrcmediacontentsharebuttonssoctrktw,0,2015-12-14 13:46:11,0,0,1,0.0,0.0,0.6153833270072937
140,6892,tesla here we go 220 next,0,2016-05-04 17:46:41,1,0,0,0.8622189164161682,0.0,0.0
141,28785,boss hogg weighs in with no threading below my tweet tesla,0,2018-08-08 08:49:28,0,0,1,0.0,0.0,0.5649439692497253
142,12619,tesla realizing it does not have a business model at all in autos and searching for verticals to save the company stocks,1,2015-03-30 16:46:58,0,0,1,0.0,0.0,0.7988422513008118
143,18636,rt qqq algos triggered sell in sigmax crossfinder ats lx 1129 pt 10800 goog twtr bidu gpro nflx tesla aapl fb hft quant,1,2015-06-12 15:29:53,0,1,0,0.0,0.6233074069023132,0.0
144,9801,tesla bulls have no use for facts lol,1,2018-06-01 20:21:26,0,0,1,0.0,0.0,0.8259425759315491
145,9836,roka 1m float and low rsi going to supernova monday hmny fb nflx mfst baba aapl tesla drys gm bac ge ibm xom bac cxw,1,2016-11-13 23:30:03,0,1,0,0.0,0.9135596752166748,0.0
146,17162,margin will get eaten by cost of collections etc businesses will all look as incremental sales to tesla where they arent getting cod as not worth resourcesrisk and just focus on ar then move ondisagree that suppliers will bleed tesla dry thats not supplier interest,1,2018-07-23 18:04:32,0,1,0,0.0,0.7299959063529968,0.0
147,15395,elon musk reveals personal crypto holdings gld xauusd tesla barc lyg jpm c gbtc sq amzn coin aapl spy nflx nvda mu opec usd jpy usoil ukoil,0,2018-02-24 19:19:23,0,0,1,0.0,0.0,0.5005542039871216
148,734,closed buy 10 lots usdcad 133505 for 131 pips total for today 412 pipsautotrade your account with me askhow fb twtr tesla,0,2015-12-02 20:03:44,0,1,0,0.0,0.797189474105835,0.0
149,36023,tesla red lows on deck,0,2015-10-23 14:17:17,0,1,0,0.0,0.6377696394920349,0.0
150,20962,tesla the absurdity of musks narrative pushing privatization can be seen from tweets like the one below,0,2018-08-10 00:13:23,0,0,1,0.0,0.0,0.8000943064689636
151,32044,tesla drops after warns of manufacturing hell rreutersbusinessnews3ecxy2fe6fyusteslastockiduskbn1ag25r via,1,2017-08-01 00:38:07,0,1,0,0.0,0.8043017983436584,0.0
152,34194,how is driving a hightech manufacturing boom in the eastbay tesla,0,2016-05-27 20:19:33,0,1,0,0.0,0.7249559164047241,0.0
153,32370,tesla motors upgraded by vetr inc to hold 26749 pt tesla tesla,1,2015-07-22 04:15:48,0,1,0,0.0,0.7750558853149414,0.0
154,33013,sometimes its where they fail from you can learn a great deal from this chart but will you tesla,0,2015-10-20 19:15:46,0,1,0,0.0,0.5536174774169922,0.0
155,19822,selling tslabroken stuck w funding gap too big to cover production too subscale to compete4 key execs gone last weekyet another production stop may2631yet another fatal crash europe50 downsidemaybe all the way to bankruptcybuy f gm bmw dai fcau vow race,1,2018-05-21 10:42:05,0,0,1,0.0,0.0,0.465333491563797
156,18529,reminder tesla financials are unsustainable getting worse every quarter a financial ponzi issuing new debt to cover debt service payments on existing debt massive negative cash flow ocf fcf now 24b negative working capital tslaq,0,2018-09-24 01:29:22,0,1,0,0.0,0.7707328200340271,0.0
157,8153,elon musk teslas are not named like iphones and any confusion is because i was a dumb idiot muskwhyteslamodel3notnamedlikeiphone20173 dumbidiots tesla,1,2017-03-24 17:02:32,0,1,0,0.0,0.6487556099891663,0.0
158,4741,commented on how tesla is taking over the world teslatakingworldsourcetweet ddaiy gm nsany tm tesla,1,2017-03-31 19:31:51,1,0,0,0.6696079969406128,0.0,0.0
159,34382,biltmore85 tesla thats definitely not an suvmaybe a crossover,0,2015-09-30 04:06:31,0,0,1,0.0,0.0,0.5334829688072205
160,38990,then again this could be seeing he didnt sign the q3 tesla letter as ceo nor ahuja as cfo and yelling at someone in it to disable the letters immediately and broke it on purposeacutally 5050 files725970e6eda547ab96e1422d4045f799 q3 to files7235e525db16470c8dce9ecac0ad7712 q2,1,2018-10-30 02:34:21,0,0,1,0.0,0.0,0.9063906073570251
161,11854,i share offering of 125 billion dollars tick tock this was a trap imo at least for the time being any fusz hmny tesla cgc acbff bioaq tlry cron nbev vktx tlry igc orgmf fnko i ecyt hemp lxrp cvsi gnc shld dtea nio oasm egc ascma pyx zyne,0,2018-09-26 15:24:39,0,0,1,0.0,0.0,0.6794371008872986
162,8476,cheap put options and hedges gmcr puts cheaper than 100 of history symc 86 slv 85 dal 80 tesla 79 crm 77 pcln 77,1,2015-12-10 03:44:38,0,1,0,0.0,0.8653910160064697,0.0
163,30441,hey dana since youre already onto it how about push bloomberg to cover sandy munros gag threat from ubs regarding most recent teardown which didnt make sense im sure you can find some dirt there also how much is ubs short tesla,0,2018-08-26 21:42:22,0,0,1,0.0,0.0,0.8433653712272644
164,38327,its not fair but effective i like to keep things simpleso when i hear charles i hear the tesla boardhaving said that this is a damn good article,0,2018-10-02 20:34:43,0,1,0,0.0,0.8299292922019958,0.0
